Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519831747, 171577, 200, 576, 641
1671519831760, 171590, 203, 505, 591
1671519831774, 171603, 215, 432, 523
1671519831786, 171616, 202, 348, 466
1671519831799, 171629, 201, 296, 418
1671519831812, 171642, 141, 205, 317
1671519831825, 171655, 141, 172, 176
1671519831838, 171668, 118, 141, 52
1671519831851, 171681, 103, 134, -49
1671519831864, 171694, 113, 139, -180
1671519831877, 171707, 47, 141, -337
1671519831890, 171720, -78, 151, -451
1671519831903, 171733, -64, 272, -493
1671519831916, 171746, -30, 362, -168
1671519831929, 171759, -16, 366, 225
1671519831942, 171772, 47, 365, 440
1671519831955, 171785, -12, 239, 416
1671519831968, 171798, -52, 136, 568
1671519831981, 171811, -85, 58, 638
1671519831994, 171824, -196, -5, 1018
1671519832007, 171837, -181, 90, 1412
1671519832020, 171850, -245, 306, 1896
1671519832033, 171863, -197, 440, 2161
1671519832046, 171876, -326, 298, 2202
1671519832059, 171889, -325, 136, 2116
1671519832072, 171902, -295, -35, 2135
1671519832086, 171915, -273, -216, 2132
1671519832099, 171928, -277, -248, 2138
1671519832112, 171941, -109, -134, 2095
1671519832125, 171954, -128, -152, 1808
1671519832138, 171967, -158, -175, 1530
1671519832151, 171980, -239, -103, 1467
1671519832163, 171993, -205, 0, 1296
1671519832176, 172006, -210, 103, 1269
1671519832189, 172019, -195, 70, 1188
1671519832202, 172032, -323, -94, 1111
1671519832215, 172045, -318, -153, 975
1671519832228, 172058, -287, -146, 976
1671519832242, 172071, -264, -133, 1025
1671519832255, 172084, -252, -120, 1041
1671519832268, 172097, -304, -180, 1074
1671519832281, 172110, -370, -225, 1155
1671519832294, 172123, -371, -174, 1277
1671519832307, 172136, -369, -120, 1422
1671519832320, 172149, -357, -158, 1554
1671519832332, 172162, -426, -98, 1817
1671519832345, 172175, -374, -1, 1813
1671519832358, 172188, -380, 13, 1754
1671519832371, 172201, -403, 107, 1693
1671519832384, 172214, -331, 194, 1670
1671519832397, 172227, -266, 287, 1625
1671519832410, 172240, -303, 230, 1652
1671519832423, 172253, -375, 187, 1604
1671519832436, 172266, -390, 178, 1412
1671519832449, 172279, -323, 231, 1192
1671519832462, 172292, -306, 261, 1161
1671519832475, 172305, -291, 280, 1196
1671519832488, 172318, -232, 352, 1233
1671519832501, 172331, -198, 382, 1191
1671519832514, 172344, -227, 285, 1045
1671519832527, 172357, -216, 228, 832
1671519832540, 172370, -182, 218, 717
1671519832553, 172383, -125, 235, 643
1671519832566, 172396, -66, 223, 599
1671519832579, 172409, -11, 210, 571
1671519832592, 172422, 34, 178, 519
1671519832605, 172435, 61, 150, 421
1671519832618, 172448, 92, 127, 371
1671519832631, 172461, 107, 129, 374
1671519832644, 172474, 112, 122, 374
1671519832657, 172487, 134, 133, 309
1671519832670, 172500, 144, 140, 226
1671519832683, 172513, 159, 139, 146
1671519832696, 172526, 172, 172, 100
1671519832709, 172539, 199, 192, 112
1671519832722, 172552, 199, 259, 196
1671519832735, 172565, 237, 317, 317
1671519832748, 172578, 211, 306, 465
1671519832761, 172591, 210, 336, 548
1671519832774, 172604, 232, 373, 541
1671519832787, 172617, 236, 401, 543
1671519832800, 172630, 239, 428, 560
1671519832813, 172643, 250, 455, 583
1671519832826, 172656, 265, 482, 572
1671519832839, 172669, 268, 469, 560
1671519832852, 172682, 260, 478, 571
1671519832865, 172695, 246, 493, 586
1671519832878, 172708, 251, 524, 614
1671519832891, 172721, 261, 556, 640
1671519832904, 172734, 267, 591, 663
1671519832917, 172747, 283, 618, 698
1671519832930, 172760, 280, 653, 737
1671519832943, 172773, 270, 658, 759
1671519832956, 172786, 267, 644, 773
1671519832969, 172799, 265, 646, 790
1671519832982, 172812, 278, 667, 815
1671519832995, 172825, 274, 656, 813
1671519833008, 172838, 282, 629, 798
1671519833021, 172851, 288, 608, 774
1671519833034, 172864, 289, 615, 763
1671519833047, 172877, 290, 608, 745
1671519833060, 172890, 291, 611, 740
1671519833073, 172903, 306, 624, 743
1671519833086, 172916, 303, 612, 744
1671519833099, 172929, 305, 596, 732
1671519833112, 172942, 301, 560, 698
