Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519818332, 158161, 185, 461, 845
1671519818345, 158174, 189, 449, 834
1671519818358, 158187, 192, 435, 823
1671519818371, 158200, 200, 440, 832
1671519818384, 158213, 198, 426, 820
1671519818397, 158226, 191, 421, 816
1671519818410, 158239, 181, 431, 815
1671519818423, 158252, 181, 432, 826
1671519818436, 158265, 180, 452, 846
1671519818449, 158278, 185, 468, 875
1671519818462, 158291, 181, 466, 887
1671519818475, 158304, 182, 445, 874
1671519818488, 158317, 175, 426, 870
1671519818501, 158330, 190, 424, 854
1671519818514, 158343, 187, 429, 860
1671519818527, 158356, 192, 443, 870
1671519818540, 158369, 197, 462, 881
1671519818553, 158382, 199, 465, 880
1671519818566, 158395, 210, 489, 897
1671519818579, 158408, 220, 510, 939
1671519818592, 158421, 237, 512, 957
1671519818605, 158434, 242, 493, 973
1671519818618, 158447, 250, 526, 984
1671519818631, 158460, 245, 589, 1034
1671519818644, 158473, 203, 638, 1162
1671519818657, 158486, 183, 758, 1345
1671519818670, 158499, 200, 893, 1430
1671519818683, 158512, 237, 958, 1437
1671519818696, 158525, 225, 974, 1388
1671519818709, 158538, 161, 917, 1391
1671519818722, 158551, 142, 895, 1409
1671519818735, 158564, 109, 927, 1493
1671519818748, 158577, 79, 1052, 1711
1671519818761, 158590, 107, 1200, 1776
1671519818774, 158603, 120, 1205, 1702
1671519818787, 158616, 90, 1123, 1667
1671519818800, 158629, 89, 1027, 1644
1671519818813, 158642, 103, 930, 1573
1671519818826, 158655, 120, 785, 1416
1671519818839, 158668, 102, 604, 1235
1671519818852, 158681, 131, 468, 970
1671519818865, 158694, 150, 360, 805
1671519818878, 158707, 147, 296, 754
1671519818891, 158720, 163, 127, 632
1671519818904, 158733, 45, -100, 650
1671519818917, 158746, 90, -174, 467
1671519818930, 158759, 128, -200, 293
1671519818943, 158772, 134, -253, 133
1671519818956, 158785, 162, -271, 62
1671519818969, 158798, 161, -317, 55
1671519818982, 158811, 211, -309, 27
1671519818995, 158824, 252, -273, 3
1671519819008, 158837, 261, -250, -28
1671519819021, 158850, 282, -170, -80
1671519819034, 158863, 311, -99, -108
1671519819047, 158876, 304, -52, -33
1671519819060, 158889, 299, -23, -62
1671519819073, 158902, 268, -2, -68
1671519819086, 158915, 262, 15, -170
1671519819099, 158928, 276, 50, -250
1671519819112, 158941, 260, 78, -292
1671519819125, 158954, 245, 132, -267
1671519819138, 158967, 281, 161, -167
1671519819151, 158980, 266, 131, -28
1671519819164, 158993, 226, 140, 100
1671519819177, 159006, 208, 169, 121
1671519819190, 159019, 182, 209, 37
1671519819203, 159032, 140, 210, -100
1671519819216, 159045, 101, 191, -122
1671519819230, 159058, 41, 206, -60
1671519819242, 159071, 1, 247, 11
1671519819255, 159084, -39, 337, 190
1671519819268, 159097, -17, 492, 407
1671519819281, 159110, -19, 629, 671
1671519819294, 159123, 28, 699, 847
1671519819307, 159136, 160, 614, 729
1671519819320, 159149, 105, 429, 599
1671519819333, 159162, 74, 397, 762
1671519819346, 159175, 4, 452, 1078
1671519819359, 159188, -23, 539, 1457
1671519819372, 159201, 180, 646, 1779
1671519819385, 159214, 312, 652, 1845
1671519819398, 159227, 285, 532, 1741
1671519819411, 159240, 279, 437, 1505
1671519819424, 159253, 186, 545, 1546
1671519819437, 159266, 159, 749, 1678
1671519819450, 159279, 180, 976, 1751
1671519819463, 159292, 295, 1124, 1674
1671519819476, 159305, 321, 1172, 1505
1671519819489, 159318, 330, 1097, 1358
1671519819502, 159331, 293, 1004, 1358
1671519819515, 159344, 274, 864, 1308
1671519819528, 159357, 273, 761, 1244
1671519819541, 159370, 251, 691, 1214
1671519819554, 159383, 237, 645, 1160
1671519819567, 159396, 241, 676, 1100
1671519819580, 159409, 226, 706, 1104
1671519819593, 159422, 245, 709, 1041
1671519819606, 159435, 243, 609, 942
1671519819619, 159448, 259, 539, 857
1671519819632, 159461, 268, 455, 783
1671519819645, 159474, 263, 414, 735
1671519819658, 159487, 267, 399, 707
1671519819671, 159500, 258, 411, 723
1671519819684, 159513, 257, 461, 740
1671519819697, 159526, 244, 507, 780
1671519819710, 159539, 248, 527, 800
1671519819723, 159552, 260, 515, 804
1671519819736, 159565, 249, 468, 786
1671519819749, 159578, 236, 442, 803
1671519819762, 159591, 257, 475, 829
1671519819775, 159604, 246, 479, 838
1671519819788, 159617, 258, 484, 828
1671519819801, 159630, 265, 509, 811
1671519819814, 159643, 271, 510, 775
