Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1671519887424, 227256, 251, 499, 804
1671519887437, 227269, 237, 495, 800
1671519887450, 227282, 225, 517, 818
1671519887463, 227295, 226, 548, 828
1671519887476, 227308, 223, 561, 819
1671519887489, 227321, 211, 551, 815
1671519887502, 227334, 207, 547, 800
1671519887515, 227347, 207, 563, 795
1671519887528, 227360, 200, 570, 805
1671519887541, 227373, 187, 557, 797
1671519887554, 227386, 181, 551, 793
1671519887567, 227399, 192, 537, 790
1671519887580, 227412, 201, 531, 808
1671519887593, 227425, 201, 529, 806
1671519887606, 227438, 200, 522, 818
1671519887619, 227451, 186, 527, 830
1671519887632, 227464, 147, 542, 840
1671519887645, 227477, 99, 571, 838
1671519887658, 227490, 43, 616, 872
1671519887671, 227503, 17, 667, 882
1671519887684, 227516, -6, 693, 894
1671519887697, 227529, -37, 685, 882
1671519887710, 227542, -87, 675, 885
1671519887723, 227555, -110, 700, 858
1671519887736, 227568, -215, 746, 960
1671519887750, 227581, -238, 832, 1039
1671519887763, 227594, -256, 870, 1046
1671519887776, 227607, -261, 864, 1013
1671519887788, 227620, -307, 837, 912
1671519887801, 227633, -378, 829, 873
1671519887814, 227646, -399, 859, 871
1671519887827, 227659, -435, 882, 903
1671519887840, 227672, -439, 883, 881
1671519887853, 227685, -404, 862, 833
1671519887866, 227698, -410, 773, 770
1671519887879, 227711, -445, 635, 718
1671519887892, 227724, -360, 649, 788
1671519887905, 227737, -264, 669, 906
1671519887918, 227750, -211, 535, 954
1671519887931, 227763, -166, 372, 890
1671519887944, 227776, -105, 335, 825
1671519887957, 227789, -11, 313, 715
1671519887970, 227802, 58, 316, 716
1671519887983, 227815, 72, 268, 741
1671519887996, 227828, 18, 145, 736
1671519888009, 227841, 80, -123, 623
1671519888022, 227854, 292, -375, 504
1671519888035, 227867, 423, -587, 430
1671519888048, 227880, 484, -645, 401
1671519888061, 227893, 523, -718, 403
1671519888074, 227906, 479, -848, 587
1671519888087, 227919, 579, -924, 857
1671519888101, 227932, 682, -1007, 962
1671519888114, 227945, 859, -1038, 745
1671519888127, 227958, 939, -1131, 530
1671519888140, 227971, 983, -1166, 372
1671519888152, 227984, 937, -1124, 349
1671519888165, 227997, 892, -991, 538
1671519888178, 228010, 882, -910, 720
1671519888191, 228023, 830, -797, 840
1671519888204, 228036, 811, -802, 818
1671519888217, 228049, 813, -793, 707
1671519888230, 228062, 962, -765, 487
1671519888243, 228075, 1080, -785, 245
1671519888256, 228088, 1075, -816, 170
1671519888269, 228101, 968, -803, 302
1671519888282, 228114, 902, -734, 509
1671519888295, 228127, 887, -621, 735
1671519888308, 228140, 858, -591, 851
1671519888321, 228153, 924, -671, 604
1671519888334, 228166, 989, -772, 527
1671519888348, 228179, 1037, -862, 385
1671519888361, 228192, 1013, -908, 372
1671519888373, 228205, 890, -856, 461
1671519888386, 228218, 784, -647, 648
1671519888399, 228231, 717, -496, 699
1671519888412, 228244, 667, -416, 737
1671519888425, 228257, 682, -342, 604
1671519888438, 228270, 711, -338, 473
1671519888451, 228283, 701, -366, 466
1671519888464, 228296, 645, -394, 456
1671519888477, 228309, 580, -327, 538
1671519888490, 228322, 474, -211, 667
1671519888503, 228335, 382, -68, 789
1671519888516, 228348, 317, 60, 916
1671519888529, 228361, 303, 183, 943
1671519888542, 228374, 285, 279, 899
1671519888555, 228387, 315, 265, 733
1671519888568, 228400, 252, 190, 732
1671519888581, 228413, 178, 184, 785
1671519888594, 228426, 131, 257, 819
1671519888607, 228439, 77, 364, 777
1671519888620, 228452, -3, 528, 913
1671519888633, 228465, -123, 602, 923
1671519888646, 228478, -116, 697, 914
1671519888659, 228491, -67, 724, 811
1671519888672, 228504, -96, 662, 777
1671519888685, 228517, -91, 621, 804
1671519888698, 228530, -156, 614, 910
1671519888711, 228543, -87, 654, 961
1671519888725, 228556, -503, 684, 1097
1671519888737, 228569, -353, 884, 1135
1671519888751, 228582, -283, 962, 1104
1671519888763, 228595, -225, 899, 984
1671519888776, 228608, -154, 806, 884
1671519888789, 228621, -87, 670, 755
1671519888803, 228634, -93, 554, 726
1671519888815, 228647, -96, 557, 775
1671519888828, 228660, -169, 671, 916
1671519888841, 228673, -99, 800, 1101
1671519888854, 228686, -75, 802, 1079
1671519888867, 228699, -3, 811, 997
1671519888880, 228712, 14, 766, 948
1671519888893, 228725, 35, 692, 903
1671519888906, 228738, 62, 609, 830
1671519888919, 228751, 81, 588, 799
1671519888932, 228764, 120, 607, 798
1671519888945, 228777, 140, 616, 834
1671519888958, 228790, 145, 612, 848
1671519888971, 228803, 169, 612, 852
1671519888984, 228816, 195, 625, 845
1671519888997, 228829, 214, 588, 833
1671519889010, 228842, 212, 539, 801
1671519889023, 228855, 229, 515, 773
1671519889036, 228868, 255, 517, 759
1671519889049, 228881, 268, 525, 755
1671519889062, 228894, 262, 531, 768
1671519889075, 228907, 271, 527, 749
1671519889088, 228920, 275, 523, 723
1671519889101, 228933, 285, 520, 703
1671519889114, 228946, 274, 512, 703
1671519889127, 228959, 271, 519, 727
1671519889140, 228972, 278, 536, 733
1671519889153, 228985, 284, 541, 733
1671519889166, 228998, 277, 548, 750
1671519889179, 229011, 283, 550, 751
1671519889192, 229024, 284, 549, 750
1671519889205, 229037, 280, 541, 752
1671519889218, 229050, 284, 535, 750
1671519889231, 229063, 291, 534, 741
