Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1672165114390, 90171, 22, 968, -129
1672165114403, 90184, 22, 961, -132
1672165114417, 90197, 26, 958, -140
1672165114429, 90210, 26, 950, -147
1672165114442, 90223, 23, 949, -135
1672165114455, 90236, 21, 946, -139
1672165114469, 90249, 23, 949, -136
1672165114481, 90262, 19, 948, -138
1672165114494, 90275, 22, 955, -127
1672165114506, 90288, 20, 946, -124
1672165114519, 90301, 17, 946, -134
1672165114533, 90314, 21, 936, -137
1672165114546, 90327, 25, 936, -125
1672165114559, 90340, 24, 932, -120
1672165114571, 90353, 28, 920, -130
1672165114585, 90366, 25, 903, -139
1672165114598, 90379, 36, 889, -141
1672165114611, 90392, 42, 870, -125
1672165114623, 90405, 34, 848, -106
1672165114636, 90418, 29, 825, -90
1672165114650, 90431, 27, 791, -81
1672165114662, 90444, 30, 761, -56
1672165114676, 90457, 47, 692, -40
1672165114688, 90470, 53, 580, -39
1672165114702, 90483, 36, 506, -3
1672165114715, 90496, 48, 481, -34
1672165114728, 90509, 41, 454, -39
1672165114740, 90522, 35, 496, -49
1672165114754, 90535, 28, 515, -41
1672165114766, 90548, 44, 519, -55
1672165114780, 90561, 63, 470, -75
1672165114792, 90574, 74, 442, -56
1672165114806, 90587, 79, 399, -75
1672165114819, 90600, 55, 424, -65
1672165114833, 90613, 67, 443, -86
1672165114845, 90626, 77, 486, -82
1672165114858, 90639, 34, 520, -96
1672165114871, 90652, 35, 577, -64
1672165114884, 90665, 48, 584, 61
1672165114897, 90678, 33, 685, 93
1672165114910, 90691, 21, 709, -18
1672165114923, 90704, 28, 719, 26
1672165114936, 90717, 45, 630, -59
1672165114950, 90730, 48, 628, -10
1672165114963, 90743, 11, 621, 47
1672165114975, 90756, -6, 755, 203
1672165114988, 90769, -45, 842, 362
1672165115001, 90782, 1, 972, 619
1672165115014, 90795, -36, 1031, 704
1672165115027, 90808, 51, 1079, 481
1672165115040, 90821, 30, 929, 445
1672165115053, 90834, 20, 994, 555
1672165115067, 90847, 46, 1055, 674
1672165115079, 90860, 26, 1098, 885
1672165115092, 90873, 99, 1097, 1014
1672165115105, 90886, 226, 1043, 1048
1672165115118, 90899, 229, 991, 1208
1672165115131, 90912, 216, 959, 1187
1672165115144, 90925, 154, 990, 1167
1672165115157, 90938, 127, 999, 1139
1672165115170, 90951, 132, 1050, 1090
1672165115184, 90964, 96, 1036, 1068
1672165115196, 90977, 75, 1117, 1197
1672165115209, 90990, 12, 1163, 1090
1672165115222, 91003, -5, 1245, 1055
1672165115235, 91016, 15, 1205, 904
1672165115248, 91029, -58, 1150, 865
1672165115261, 91042, -86, 1205, 859
1672165115274, 91055, -132, 1269, 843
1672165115287, 91068, -160, 1250, 834
1672165115300, 91081, -198, 1322, 792
1672165115313, 91094, -233, 1411, 758
1672165115326, 91107, -267, 1433, 708
1672165115339, 91120, -260, 1424, 763
1672165115352, 91133, -216, 1401, 805
1672165115366, 91146, -169, 1322, 646
1672165115378, 91159, -186, 1285, 676
1672165115391, 91172, -188, 1292, 740
1672165115404, 91185, -192, 1296, 801
1672165115417, 91198, -163, 1279, 781
1672165115430, 91211, -145, 1250, 760
1672165115443, 91224, -117, 1209, 752
1672165115456, 91237, -79, 1160, 767
1672165115469, 91250, -68, 1128, 743
1672165115482, 91263, -75, 1137, 730
1672165115495, 91276, -80, 1127, 688
1672165115508, 91289, -79, 1103, 651
1672165115521, 91302, -71, 1129, 643
1672165115534, 91315, -78, 1160, 619
1672165115547, 91328, -73, 1171, 617
1672165115560, 91341, -44, 1149, 614
1672165115573, 91354, -23, 1087, 618
1672165115586, 91367, 20, 996, 593
1672165115599, 91380, 42, 903, 453
1672165115612, 91393, 79, 833, 375
1672165115625, 91406, 56, 807, 335
1672165115638, 91419, 33, 819, 367
1672165115651, 91432, 30, 899, 456
1672165115664, 91445, 43, 933, 551
1672165115677, 91458, 58, 909, 546
1672165115690, 91471, 50, 794, 491
1672165115703, 91484, 53, 710, 361
1672165115716, 91497, 60, 579, 204
1672165115729, 91510, 92, 550, 103
1672165115741, 91523, 86, 547, 75
1672165115755, 91536, 110, 544, 42
1672165115767, 91549, 75, 615, 87
1672165115781, 91562, 61, 743, 199
1672165115793, 91575, 32, 786, 243
1672165115806, 91588, 3, 767, 221
1672165115820, 91601, 11, 748, 163
1672165115833, 91614, 29, 651, 76
1672165115845, 91627, 34, 591, 98
1672165115858, 91640, 68, 536, 8
1672165115871, 91653, 80, 526, 34
1672165115885, 91666, 78, 590, 129
1672165115898, 91679, 72, 619, 152
1672165115911, 91692, 66, 622, 112
1672165115923, 91705, 63, 655, 68
1672165115936, 91718, 59, 655, 11
1672165115950, 91731, 56, 641, -40
1672165115963, 91744, 84, 664, -38
1672165115976, 91757, 76, 629, -26
1672165115988, 91770, 63, 674, 18
1672165116001, 91783, 36, 730, 21
1672165116014, 91796, 2, 801, 12
1672165116028, 91809, -19, 893, 17
1672165116041, 91822, -21, 924, 14
1672165116054, 91835, -5, 878, -28
1672165116068, 91848, 3, 850, -51
1672165116080, 91861, 0, 811, -101
1672165116093, 91874, 0, 807, -116
1672165116106, 91887, -1, 838, -117
1672165116119, 91900, -21, 887, -102
1672165116132, 91913, -33, 917, -107
1672165116145, 91926, -30, 936, -122
1672165116158, 91939, -31, 937, -111
1672165116171, 91952, -22, 909, -118
1672165116184, 91965, -4, 888, -126
1672165116197, 91978, 16, 854, -140
1672165116210, 91991, 33, 822, -156
1672165116223, 92004, 56, 816, -173
1672165116236, 92017, 49, 806, -171
1672165116249, 92030, 31, 826, -172
1672165116262, 92043, 25, 875, -159
1672165116275, 92056, 19, 909, -124
1672165116287, 92069, 23, 933, -103
1672165116301, 92082, 30, 945, -79
1672165116314, 92095, 38, 943, -97
1672165116327, 92108, 41, 934, -116
1672165116340, 92121, 36, 946, -123
1672165116353, 92134, 33, 968, -105
1672165116366, 92147, 20, 984, -93
1672165116379, 92160, 15, 1011, -98
1672165116392, 92173, 13, 1035, -73
1672165116405, 92186, 1, 1052, -59
1672165116418, 92199, 16, 1059, -82
1672165116432, 92212, 31, 1029, -99
1672165116444, 92225, 40, 996, -106
1672165116457, 92238, 61, 983, -120
1672165116470, 92251, 56, 972, -97
1672165116483, 92264, 49, 985, -90
1672165116496, 92277, 28, 1010, -83
